Start Date,End Date,Visits,Unique Visitors,Visit Duration (mean),Actions,Max. Actions,Actions/Visit,Pageviews
02-Dec,08-Dec,24,22,1:18,94,16,3.9,93
09-Dec,15-Dec,15,12,6:37,243,123,16.2,237
16-Dec,22-Dec,13,13,0:54,62,27,4.8,59
23-Dec,29-Dec,7,7,0:54,23,8,3.3,22
30-Dec,05-Jan,8,7,0:40,24,6,3,24
06-Jan,12-Jan,20,17,4:12,124,32,6.2,121
13-Jan,19-Jan,18,13,4:01,105,18,5.8,95
20-Jan,26-Jan,12,12,1:10,59,22,4.9,58
27-Jan,02-Feb,20,19,1:18,63,8,3.2,59
03-Feb,09-Feb,11,10,3:05,57,9,5.2,53
10-Feb,16-Feb,18,16,2:20,81,24,4.5,77
17-Feb,23-Feb,8,8,2:15,27,7,3.4,21
24-Feb,02-Mar,15,11,2:07,54,11,3.6,50
03-Mar,09-Mar,12,9,4:49,62,30,5.2,61
10-Mar,16-Mar,19,18,1:40,75,10,3.9,66
17-Mar,23-Mar,30,25,2:27,125,17,4.2,120
24-Mar,30-Mar,17,15,4:16,216,118,12.7,211
31-Mar,06-Apr,25,20,3:23,98,13,3.9,85
