zero sec - Start Date,zero sec - End Date,zero sec - Visits,zero sec - Unique Visitors,zero sec - Visit Duration (mean),zero sec - Actions,zero sec - Max. Actions,zero sec - Actions/Visit,zero sec - Pageviews
02-Dec,08-Dec,157,157,0:00,157,1,1,157
09-Dec,15-Dec,126,126,0:00,126,1,1,125
16-Dec,22-Dec,128,126,0:00,128,1,1,128
23-Dec,29-Dec,73,73,0:00,73,1,1,72
30-Dec,05-Jan,82,82,0:00,82,1,1,82
06-Jan,12-Jan,121,121,0:00,121,1,1,121
13-Jan,19-Jan,134,134,0:00,134,1,1,134
20-Jan,26-Jan,393,392,0:00,393,1,1,392
27-Jan,02-Feb,178,178,0:00,178,1,1,178
03-Feb,09-Feb,101,101,0:00,101,1,1,101
10-Feb,16-Feb,115,115,0:00,115,1,1,114
17-Feb,23-Feb,104,104,0:00,104,1,1,104
24-Feb,02-Mar,92,92,0:00,92,1,1,91
03-Mar,09-Mar,127,127,0:00,127,1,1,127
10-Mar,16-Mar,114,114,0:00,114,1,1,112
17-Mar,23-Mar,134,133,0:00,134,1,1,134
24-Mar,30-Mar,187,186,0:00,187,1,1,187
31-Mar,06-Apr,148,148,0:00,148,1,1,148
